alpha,sigma,epsilon,replication,episode,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,mean_reward
0.8,0.8,0.25,0,1,-1.4157594,-1.486258,-1.0835694,-1.8399528,-1.4563850164413452
0.8,0.8,0.5,0,0,-2.3040774,-2.973916,-2.520279,-2.9502022,-2.6871185302734375
0.8,0.8,0.5,0,1,-2.3370745,-3.003079,-2.5484478,-2.9805682,-2.717292308807373
0.8,0.8,0.75,0,0,-3.570828,-4.0879903,-3.8664565,-3.8982322,-3.8558766841888428
0.8,0.8,0.75,0,1,-2.9477649,-3.6801364,-3.450227,-3.3503537,-3.3571205139160156
0.8,0.8,1.0,0,0,-3.8459275,-1.1425884,-2.8711817,-1.4203041,-2.320000410079956
0.8,0.8,1.0,0,1,-3.7931292,-1.0501034,-2.8485765,-1.318237,-2.252511501312256
0.8,1.0,0.0,0,0,-0.9536211,-2.2584503,-1.1214387,-1.0587767,-1.348071813583374
0.8,1.0,0.0,0,1,-2.3126135,-3.7947493,-2.6820724,-2.6196237,-2.852264881134033
0.8,1.0,0.25,0,0,-0.53201383,-0.93883723,-1.7488192,-0.5548737,-0.9436360001564026
0.8,1.0,0.25,0,1,-0.69873065,-1.1547937,-1.903809,-0.70208323,-1.114854097366333
0.8,1.0,0.5,0,0,-3.0097196,-2.2619858,-3.5527122,-3.24306,-3.01686954498291
0.8,1.0,0.5,0,1,-2.7825387,-2.0597472,-3.3652337,-3.0350475,-2.8106417655944824
0.8,1.0,0.75,0,0,-1.9526433,-2.1712682,-2.550484,-1.7064568,-2.0952131748199463
0.8,1.0,0.75,0,1,-1.8434752,-2.0419571,-2.3919258,-1.5847515,-1.9655274152755737
0.8,1.0,1.0,0,0,-1.4527478,-1.3752283,-1.2747455,-0.83463335,-1.2343387603759766
0.8,1.0,1.0,0,1,-1.022789,-0.9057305,-0.87128717,-0.39499515,-0.7987004518508911
